,PH,Solids,Turbidity,Potability
201,1.0,11054,1.59,0
202,5.0,7824,3.98,0
203,1.9,2275,3.84,0
204,4.6,4165,0.02,0
205,4.2,2149,2.6,0
206,0.3,2675,3.17,0
207,6.2,5834,1.7,0
208,4.4,6099,4.15,0
209,6.0,12256,0.82,0
210,5.0,12145,3.65,0
211,4.3,19206,3.25,0
212,3.7,9258,3.78,0
213,1.3,13225,1.3,0
214,0.5,7242,3.29,0
215,0.0,19614,1.67,0
216,5.6,16962,2.23,0
217,6.0,8589,1.02,0
218,2.1,16192,4.01,0
219,2.5,16659,1.26,0
220,6.4,15844,2.15,0
221,1.8,10194,3.51,0
222,5.9,17015,4.12,0
223,0.8,12786,0.85,0
224,4.8,9415,3.2,0
225,3.2,11480,1.86,0
226,6.3,18738,2.53,0
227,3.5,6769,3.35,0
228,5.3,19007,2.16,0
229,0.6,2387,2.02,0
230,4.6,2190,1.81,0
231,5.7,18980,0.37,0
232,4.2,7939,1.63,0
233,6.1,16096,3.83,0
234,5.7,5397,4.06,0
235,1.6,5187,0.93,0
236,2.8,17283,3.63,0
237,3.6,14411,2.38,0
238,4.2,14606,3.19,0
239,4.6,13787,3.69,0
240,6.1,18579,2.63,0
241,5.4,13934,0.77,0
242,1.4,18708,3.81,0
243,6.0,2288,1.97,0
244,2.3,789,2.66,0
245,5.7,16560,2.28,0
246,4.8,8530,1.39,0
247,0.5,8429,3.46,0
248,5.8,12744,1.05,0
249,3.7,16448,2.26,0
250,0.7,4059,0.38,0
251,4.8,8673,2.31,0
252,0.2,17839,4.01,0
253,1.1,11492,1.88,0
254,5.9,16225,1.64,0
255,6.3,12356,1.48,0
256,6.0,14385,2.57,0
257,0.2,5325,2.13,0
258,6.1,7821,2.19,0
259,2.3,7040,0.65,0
260,3.0,5743,0.0,0
261,2.7,19847,3.03,0
262,2.7,11319,0.03,0
263,3.5,4234,2.86,0
264,6.4,5088,1.26,0
265,5.5,16907,2.86,0
266,3.4,12431,1.09,0
267,4.9,11927,3.29,0
268,4.7,1726,1.55,0
269,4.6,8587,2.86,0
270,0.0,3474,1.53,0
271,1.5,16393,0.72,0
272,2.2,6650,2.47,0
273,2.2,3622,0.58,0
274,0.7,12792,2.86,0
275,4.7,511,2.18,0
276,5.3,17002,0.04,0
277,0.0,17189,1.58,0
278,4.2,10613,2.7,0
279,5.0,1934,3.55,0
280,6.2,15479,0.14,0
281,2.3,18581,2.34,0
282,5.4,4807,3.76,0
283,1.6,3988,2.62,0
284,2.2,14859,3.89,0
285,5.3,10395,2.16,0
286,1.0,15850,1.06,0
287,2.6,7020,2.26,0
288,4.0,7434,1.8,0
289,5.2,17956,1.41,0
290,4.9,1314,0.61,0
291,5.1,18747,1.95,0
292,2.6,1924,1.58,0
293,1.4,5055,3.79,0
294,2.3,16571,0.26,0
295,1.6,5312,4.16,0
296,5.6,1349,1.43,0
297,0.9,8714,2.76,0
298,4.4,15739,1.08,0
299,6.1,17224,1.0,0
300,4.9,12039,3.71,0
301,3.7,9441,3.48,0
302,4.9,988,1.53,0
303,5.6,18124,0.05,0
304,1.3,1812,3.95,0
305,5.2,17590,3.69,0
306,2.1,16905,1.78,0
307,1.4,14472,2.46,0
308,5.2,8689,1.81,0
309,5.0,13045,0.79,0
310,4.1,4233,0.16,0
311,4.6,14970,0.48,0
312,3.8,8765,3.37,0
313,6.4,9042,2.13,0
314,3.8,18391,1.99,0
315,2.8,17679,2.87,0
316,3.4,3424,4.11,0
317,2.6,2580,1.0,0
318,2.3,15265,0.62,0
319,1.9,1143,3.01,0
320,4.5,19567,1.27,0
321,2.5,7373,2.96,0
322,1.3,4287,3.06,0
323,0.8,18367,0.68,0
324,3.5,3060,3.45,0
325,4.2,15897,3.12,0
326,2.1,10667,3.23,0
327,6.2,15082,0.83,0
328,4.0,18992,1.06,0
329,5.4,2792,2.7,0
330,5.1,10239,1.81,0
331,2.5,742,2.15,0
332,5.7,7009,1.51,0
333,3.9,606,2.55,0
334,2.0,17450,2.85,0
335,2.3,9176,4.18,0
336,6.2,15720,2.14,0
337,2.3,14772,2.75,0
338,6.1,14433,0.23,0
339,3.7,8996,3.83,0
340,6.4,14434,3.5,0
341,3.3,11845,0.09,0
342,4.3,9383,2.04,0
343,2.0,19946,2.53,0
344,3.0,19681,2.08,0
345,4.5,8722,3.29,0
346,4.0,14734,2.77,0
347,0.5,4707,2.11,0
348,4.3,3447,1.04,0
349,2.4,9754,1.94,0
350,0.5,16854,3.3,0
351,2.9,16257,2.87,0
352,1.6,17801,2.28,0
353,3.6,11742,3.16,0
354,0.5,18104,3.36,0
355,0.3,12837,0.36,0
356,5.0,11759,0.66,0
357,2.2,7049,2.62,0
358,0.7,5675,1.93,0
359,1.5,16314,2.64,0
360,3.0,16878,3.41,0
361,6.0,12276,3.33,0
362,2.5,16481,2.19,0
363,0.4,8721,0.08,0
364,1.1,19846,2.09,0
365,3.4,14378,2.34,0
366,1.5,5606,1.8,0
367,2.3,13170,2.62,0
368,0.5,14928,2.2,0
369,3.1,15365,0.45,0
370,5.6,1408,0.7,0
371,4.2,7730,3.41,0
372,3.6,11094,2.69,0
373,0.1,4638,0.7,0
374,6.1,13074,2.08,0
375,6.2,13072,1.22,0
376,3.0,1851,1.67,0
377,2.7,16114,0.25,0
378,0.2,7591,2.0,0
379,5.4,18719,2.24,0
380,1.7,18846,1.83,0
381,1.8,12213,2.79,0
382,0.6,19221,0.19,0
383,2.2,796,0.6,0
384,5.5,9618,3.68,0
385,3.3,14840,3.05,0
386,2.8,14246,3.77,0
387,2.5,16249,0.46,0
388,2.4,5793,2.85,0
389,1.4,677,2.95,0
390,0.0,11320,3.94,0
391,3.4,9604,2.14,0
392,6.3,14459,1.75,0
393,0.6,19409,2.89,0
394,3.5,15897,1.09,0
395,5.7,13921,4.13,0
396,5.0,5577,1.74,0
397,3.7,2857,1.68,0
398,5.2,9967,2.73,0
399,2.5,18235,0.04,0
400,2.9,17883,0.09,0
401,6.4,16272,4.08,0
402,0.5,19589,1.52,0
403,4.3,15581,3.92,0
404,1.6,17308,0.84,0
405,3.7,11682,3.04,0
406,5.3,17835,1.69,0
407,0.7,6381,1.75,0
408,3.4,16814,1.32,0
409,5.3,2091,0.19,0
410,0.5,4896,1.21,0
411,2.1,4261,1.91,0
412,6.1,2125,1.63,0
413,2.0,19284,0.95,0
414,3.5,17968,0.66,0
415,3.4,15033,0.0,0
416,2.2,9611,0.87,0
417,5.5,2160,1.77,0
418,3.2,7689,0.52,0
419,1.2,863,2.35,0
420,1.1,8432,3.5,0
421,4.4,12777,3.66,0
422,4.2,13945,0.87,0
423,4.8,13820,1.71,0
424,3.7,19026,2.29,0
425,2.7,9915,2.79,0
426,4.4,7921,2.16,0
427,1.9,18592,1.45,0
428,4.4,7877,3.96,0
429,5.4,16092,1.31,0
430,0.0,11914,1.1,0
431,2.6,9160,0.87,0
432,4.2,11161,1.81,0
433,4.7,3718,2.85,0
434,6.0,18556,0.02,0
435,5.9,3756,1.84,0
436,5.9,12449,0.42,0
437,3.0,17946,2.61,0
438,5.5,19626,3.48,0
439,3.3,15014,1.97,0
440,3.7,1075,1.65,0
441,1.5,10960,0.77,0
442,3.2,14830,2.51,0
443,3.9,5073,1.06,0
444,1.4,1060,1.24,0
445,6.0,13390,3.72,0
446,4.7,19014,1.37,0
447,1.6,14993,3.78,0
448,2.0,3231,2.47,0
449,3.0,13982,0.85,0
450,3.6,12327,1.41,0
451,6.3,14111,0.23,0
452,0.2,7266,2.24,0
453,4.8,17180,3.64,0
454,4.0,4910,0.76,0
455,5.0,19150,2.68,0
456,3.4,14668,2.81,0
457,5.7,17082,1.62,0
458,1.6,511,2.21,0
459,3.1,11384,0.64,0
460,0.0,5526,2.95,0
461,2.7,11097,1.08,0
462,0.5,2758,1.42,0
463,1.4,3302,0.64,0
464,0.6,14214,0.02,0
465,3.4,15993,3.79,0
466,6.3,11877,2.34,0
467,5.9,7861,2.73,0
468,0.6,15894,0.98,0
469,1.1,11891,0.12,0
470,4.8,10395,3.65,0
471,6.2,14007,3.95,0
472,5.0,3977,0.67,0
473,3.0,10145,0.37,0
474,4.5,3283,2.94,0
475,0.8,14693,1.01,0
476,2.7,2216,2.25,0
477,1.3,12081,3.1,0
478,3.9,18602,0.47,0
479,5.8,17229,0.74,0
480,0.6,19034,0.94,0
481,6.2,12870,0.8,0
482,4.8,1490,3.82,0
483,1.1,5212,1.84,0
484,0.2,18585,3.53,0
485,0.9,8966,1.47,0
486,2.0,4443,2.96,0
487,5.2,8063,3.68,0
488,6.1,14779,2.42,0
489,3.0,18942,2.35,0
490,2.0,402,0.45,0
491,5.4,2511,0.68,0
492,5.6,2134,3.42,0
493,5.6,8919,2.16,0
494,3.1,18917,1.25,0
495,6.1,19207,3.74,0
496,5.6,13440,4.16,0
497,1.0,8949,0.23,0
498,1.6,12228,3.2,0
499,5.5,12464,1.04,0
500,1.3,12468,1.37,0
501,5.1,18605,3.05,0
502,0.2,4604,1.96,0
503,2.2,18786,0.18,0
504,1.1,16655,3.28,0
505,4.1,10947,0.73,0
506,2.3,857,0.95,0
507,6.4,1286,1.97,0
508,5.9,13857,3.67,0
509,4.8,10252,3.53,0
510,5.0,14401,0.88,0
511,0.6,12356,0.62,0
512,5.2,8744,2.59,0
513,3.0,19163,3.82,0
514,3.9,17513,1.74,0
515,4.7,15551,1.59,0
516,5.5,14655,1.56,0
517,3.0,9045,0.35,0
518,3.9,1568,1.5,0
519,4.2,13323,0.4,0
520,1.4,15898,1.63,0
521,2.7,16855,1.89,0
522,5.2,12164,0.47,0
523,4.5,1284,3.34,0
524,5.8,6800,0.31,0
525,0.8,9824,2.32,0
526,3.6,10312,2.88,0
527,3.2,13593,2.04,0
528,1.3,2007,3.99,0
529,4.1,272,3.42,0
530,5.7,13076,2.71,0
531,5.7,6273,2.22,0
532,6.4,12787,4.05,0
533,5.1,12655,2.06,0
534,6.3,13322,2.76,0
535,0.7,17722,2.96,0
536,4.6,18452,2.64,0
537,6.0,18008,1.89,0
538,4.3,1769,3.02,0
539,3.2,18418,1.04,0
540,3.5,2046,2.86,0
541,2.7,4109,0.96,0
542,4.5,12511,3.99,0
543,1.9,18374,1.52,0
544,0.0,16362,3.89,0
545,4.6,8068,0.35,0
546,4.1,17891,0.36,0
547,2.0,7624,3.48,0
548,3.4,15401,3.85,0
549,3.9,19783,3.21,0
550,5.1,18539,3.76,0
551,3.7,16456,0.24,0
552,4.9,3984,0.37,0
553,3.3,10476,0.35,0
554,6.3,16351,2.85,0
555,3.2,18453,1.71,0
556,0.7,15947,1.27,0
557,3.2,19267,0.22,0
558,4.0,18666,4.07,0
559,5.9,17676,3.27,0
560,0.4,6354,0.88,0
561,1.1,4225,3.03,0
562,0.1,17108,0.56,0
563,2.8,15348,2.9,0
564,3.3,19693,3.64,0
565,0.6,12301,3.77,0
566,3.6,3713,3.04,0
567,6.1,14602,1.68,0
568,1.1,4620,2.61,0
569,3.6,17340,1.9,0
570,4.0,7000,1.87,0
571,2.0,15096,2.15,0
572,3.6,10472,2.63,0
573,6.3,17438,3.08,0
574,4.9,9389,1.95,0
575,4.0,7121,0.65,0
576,3.9,19410,2.92,0
577,0.6,19633,0.69,0
578,2.5,19060,3.05,0
579,1.6,12470,2.85,0
580,3.8,13278,0.41,0
581,1.4,17971,3.97,0
582,1.8,18526,0.68,0
583,6.3,553,3.38,0
584,1.9,17626,3.48,0
585,0.4,12022,1.44,0
586,5.8,17379,3.47,0
587,1.7,14547,0.74,0
588,1.1,4295,3.31,0
589,5.6,11889,1.77,0
590,1.6,16009,1.75,0
591,5.3,16862,2.42,0
592,2.7,18793,2.34,0
593,4.6,10821,1.34,0
594,1.2,1182,3.15,0
595,1.8,11543,3.78,0
596,2.5,15278,3.48,0
597,5.8,778,2.19,0
598,4.0,18486,1.86,0
599,0.1,18858,3.83,0
600,2.4,9281,1.53,0
601,3.3,4781,3.94,0
602,2.4,16923,1.63,0
603,2.7,12314,0.76,0
604,2.9,17410,0.12,0
605,3.8,12838,1.87,0
606,5.6,5628,2.77,0
607,5.0,13029,2.59,0
608,6.0,19593,4.1,0
609,5.8,4447,1.05,0
610,1.9,6248,3.47,0
611,3.0,1021,0.61,0
612,1.0,14441,0.17,0
613,5.4,15092,2.37,0
614,3.3,1616,1.09,0
615,1.7,15358,2.27,0
616,0.5,1124,0.56,0
617,5.5,2053,1.79,0
618,4.5,12531,0.29,0
619,4.4,262,0.91,0
620,5.8,5418,0.52,0
621,6.1,382,2.25,0
622,5.4,14004,0.16,0
623,4.7,16729,0.58,0
624,5.4,1880,0.66,0
625,5.8,10137,0.72,0
626,3.0,18131,1.31,0
627,5.8,17211,1.64,0
628,4.5,13869,1.96,0
629,1.7,11366,1.09,0
630,4.0,9454,2.26,0
631,5.7,3347,2.91,0
632,2.2,13754,4.12,0
633,0.3,17842,0.47,0
634,6.3,9516,3.44,0
635,5.0,15931,3.81,0
636,1.7,4634,0.46,0
637,0.7,15660,0.86,0
638,2.2,6090,2.46,0
639,4.8,18255,1.28,0
640,2.5,11393,1.06,0
641,2.3,9458,4.19,0
642,6.3,6922,4.16,0
643,0.8,16306,2.85,0
644,2.6,6360,3.89,0
645,2.1,11392,0.42,0
646,4.9,5417,3.76,0
647,1.5,4526,1.71,0
648,3.7,8343,0.93,0
649,5.2,717,2.22,0
650,0.6,5130,2.95,0
651,3.0,14823,4.05,0
652,4.4,15307,2.12,0
653,6.4,667,1.32,0
654,2.0,2317,3.87,0
655,1.3,7783,2.69,0
656,0.8,17071,3.07,0
657,0.7,8898,3.34,0
658,1.6,1665,4.15,0
659,2.8,6273,4.12,0
660,6.2,6916,0.85,0
661,4.3,5206,0.62,0
662,5.1,7747,2.91,0
663,4.6,14054,2.82,0
664,4.0,17843,4.05,0
665,3.6,6126,1.29,0
666,5.3,10052,2.14,0
667,1.8,17058,0.0,0
668,4.4,8384,1.64,0
669,3.5,19585,1.22,0
670,1.9,1155,1.29,0
671,1.7,661,0.12,0
672,2.8,16390,1.92,0
673,4.3,10711,3.1,0
674,5.3,5353,1.84,0
675,5.6,8477,3.77,0
676,5.6,7183,1.04,0
677,1.0,17906,1.53,0
678,4.8,4369,2.09,0
679,0.6,19533,3.16,0
680,0.2,15038,1.15,0
681,3.7,18800,2.16,0
682,6.1,3173,0.06,0
683,0.7,4867,0.37,0
684,4.7,6472,3.71,0
685,2.3,8550,1.17,0
686,1.0,2695,2.15,0
687,1.4,16355,0.66,0
688,6.1,4546,1.99,0
689,6.3,8082,1.73,0
690,2.1,3307,3.14,0
691,6.0,10035,2.98,0
692,1.1,7741,3.19,0
693,5.0,17704,2.72,0
694,3.7,3343,1.87,0
695,4.8,6927,3.55,0
696,0.8,11330,2.06,0
697,0.7,9906,2.99,0
698,0.1,6502,2.41,0
699,4.8,9210,2.26,0
700,4.3,15133,3.78,0
701,5.6,1353,4.17,0
702,4.8,6003,2.62,0
703,3.6,18276,1.87,0
704,6.1,10193,3.22,0
705,5.6,6515,0.83,0
706,1.0,8317,1.1,0
707,0.2,7724,0.72,0
708,3.4,3806,3.48,0
709,2.0,15202,2.71,0
710,0.6,13778,0.67,0
711,3.8,19780,1.97,0
712,1.4,17184,1.68,0
713,1.8,10472,1.14,0
714,4.7,5769,1.57,0
715,3.7,9057,3.19,0
716,0.5,12111,3.97,0
717,3.7,14270,0.31,0
718,5.5,19115,1.68,0
719,3.2,14436,4.14,0
720,4.7,11064,2.64,0
721,5.1,11960,1.64,0
722,0.3,17670,3.07,0
723,3.9,8814,1.99,0
724,0.5,11575,3.83,0
725,4.5,14815,0.44,0
726,0.6,7128,2.29,0
727,5.9,3349,3.4,0
728,0.7,2477,0.74,0
729,6.4,3012,0.35,0
730,3.4,18644,0.89,0
731,0.2,16183,1.18,0
732,6.3,18657,3.7,0
733,5.9,9400,2.14,0
734,3.3,4924,4.05,0
735,6.1,14698,2.86,0
736,3.0,16593,3.25,0
737,3.7,6303,2.07,0
738,4.1,6358,0.57,0
739,3.4,6935,3.69,0
740,1.6,11384,2.69,0
741,5.3,11646,1.8,0
742,0.5,11221,3.53,0
743,3.7,7872,4.1,0
744,5.8,14295,0.97,0
745,0.3,9051,1.55,0
746,3.0,3023,0.51,0
747,2.9,16740,2.0,0
748,3.5,9027,0.73,0
749,3.4,4970,2.62,0
750,5.0,194,0.83,0
751,5.6,6576,2.99,0
752,3.9,7496,3.61,0
753,1.2,1812,0.76,0
754,4.3,2230,3.39,0
755,2.7,13376,1.33,0
756,4.1,752,4.13,0
757,3.2,9845,2.67,0
758,4.3,2402,3.15,0
759,3.8,6855,1.93,0
760,3.1,17250,0.64,0
761,3.5,1759,2.6,0
762,0.8,15214,3.81,0
763,4.5,8584,2.28,0
764,3.9,10891,3.69,0
765,4.6,9459,3.36,0
766,4.2,8042,2.53,0
767,4.3,9807,2.4,0
768,4.7,2043,0.58,0
769,1.4,17407,1.6,0
770,1.3,13463,4.1,0
771,2.5,5215,3.78,0
772,5.4,14144,3.89,0
773,5.5,8412,3.66,0
774,2.9,2269,1.13,0
775,2.6,8333,1.16,0
776,2.0,1230,2.2,0
777,0.4,3143,1.32,0
778,1.2,6981,2.91,0
779,0.8,4910,0.34,0
780,3.6,12075,1.98,0
781,5.7,17964,3.16,0
782,3.3,19221,3.36,0
783,0.4,10399,1.09,0
784,5.2,19397,0.57,0
785,3.8,2489,2.3,0
786,1.9,14706,1.21,0
787,0.1,12508,3.04,0
788,5.4,12634,0.73,0
789,1.1,6685,1.4,0
790,5.5,15218,2.17,0
791,5.8,8742,2.68,0
792,4.3,15585,1.01,0
793,2.6,10782,2.5,0
794,2.3,10211,1.64,0
795,2.4,7128,1.49,0
796,0.7,2272,2.63,0
797,2.9,8086,2.05,0
798,2.5,9478,0.12,0
799,1.8,16834,3.17,0
800,1.3,17650,2.04,0
801,6.2,4161,1.36,0
802,1.6,13360,0.72,0
803,1.6,13826,3.68,0
804,2.6,18802,1.7,0
805,3.5,12227,3.52,0
806,6.2,17078,3.23,0
807,4.0,867,1.79,0
808,1.0,6160,2.52,0
809,2.9,9447,3.42,0
810,5.1,11335,1.99,0
811,3.6,9302,3.05,0
812,2.3,12338,0.34,0
813,2.6,16182,2.25,0
814,0.6,5318,0.52,0
815,4.3,19637,1.63,0
816,1.0,15054,0.82,0
817,3.8,7738,0.54,0
818,4.3,8223,0.02,0
819,5.9,5775,4.01,0
820,1.0,11566,2.95,0
821,0.0,7918,3.77,0
822,4.8,18123,0.54,0
823,3.6,16981,2.33,0
824,0.4,14959,3.22,0
825,6.1,6415,0.1,0
826,3.8,220,2.28,0
827,2.9,2449,1.92,0
828,6.1,14731,2.38,0
829,2.9,12081,1.92,0
830,5.4,17837,1.49,0
831,0.5,5426,0.61,0
832,3.8,13821,2.37,0
833,3.0,17890,2.81,0
834,5.9,341,2.0,0
835,1.0,6841,4.14,0
836,4.7,6370,1.11,0
837,0.6,13592,3.85,0
838,1.1,258,0.75,0
839,1.9,3759,4.0,0
840,1.9,6092,1.54,0
841,0.0,17931,0.38,0
842,3.0,3152,0.03,0
843,4.8,18952,3.93,0
844,2.9,12516,1.74,0
845,2.2,2044,0.61,0
846,3.9,15875,2.95,0
847,5.3,7273,0.33,0
848,6.2,17987,2.86,0
849,5.2,12580,1.56,0
850,6.4,19500,0.51,0
851,3.0,9945,0.43,0
852,1.2,13288,3.82,0
853,3.3,1653,0.53,0
854,3.8,19782,0.64,0
855,3.8,5854,2.51,0
856,0.3,5007,1.55,0
857,0.0,6465,0.61,0
858,5.0,9357,0.97,0
859,4.8,10170,1.6,0
860,6.4,15128,0.25,0
861,1.3,15179,0.71,0
862,3.5,9466,1.66,0
863,0.4,4450,4.05,0
864,5.8,3567,2.29,0
865,0.1,17214,1.08,0
866,5.1,12770,3.49,0
867,1.5,3134,2.03,0
868,1.7,7733,0.32,0
869,2.0,19356,3.92,0
870,5.4,15950,4.05,0
871,2.6,18382,1.69,0
872,0.7,2955,3.85,0
873,3.3,5771,0.93,0
874,3.3,12350,2.05,0
875,2.7,18298,0.85,0
876,3.1,2270,2.12,0
877,5.2,16502,0.27,0
878,4.7,907,3.5,0
879,1.7,11663,1.47,0
880,2.3,18749,0.5,0
881,3.3,6604,0.81,0
882,0.4,18531,2.99,0
883,3.2,13310,2.97,0
884,0.2,6753,2.83,0
885,4.0,16296,3.22,0
886,4.0,1007,3.52,0
887,3.5,17912,2.2,0
888,2.7,1722,0.37,0
889,1.0,16028,4.11,0
890,0.1,15301,2.6,0
891,3.9,18272,0.93,0
892,4.9,1559,2.41,0
893,4.5,9447,3.73,0
894,5.6,6045,2.37,0
895,2.6,1959,2.32,0
896,2.5,10029,3.01,0
897,1.8,6328,3.43,0
898,4.6,4030,3.44,0
899,0.2,10762,3.47,0
900,3.2,14386,4.17,0
901,3.4,19483,0.79,0
902,4.9,8874,3.06,0
903,4.7,13233,0.14,0
904,2.9,6485,4.13,0
905,2.7,19425,4.17,0
906,1.0,12543,3.17,0
907,2.5,17202,1.82,0
908,5.3,12317,4.01,0
909,0.9,14127,0.76,0
910,6.1,4799,2.61,0
911,4.8,5656,4.04,0
912,1.7,16325,2.29,0
913,4.1,7046,0.21,0
914,2.4,16421,2.33,0
915,3.3,9282,4.18,0
916,3.1,12985,2.21,0
917,0.4,19983,3.55,0
918,3.8,18721,2.49,0
919,6.2,18506,1.63,0
920,2.0,5611,2.59,0
921,6.3,9951,2.13,0
922,0.7,2849,3.59,0
923,0.2,16458,0.13,0
924,5.7,14517,3.07,0
925,1.1,1962,3.67,0
926,2.6,6843,0.19,0
927,1.9,12207,2.61,0
928,3.8,13134,2.16,0
929,5.5,15470,3.68,0
930,4.4,4636,1.29,0
931,4.1,14390,2.12,0
932,0.2,18945,3.75,0
